scale,ar,da,de,el,en,es,es_mx,et,fr,fr_be,he,hr,hu,hy,id,is,it,ja,ko,mk,nl,pt,ru,sl,sr,sv,tr
IPIP-HPIHIC-Var,,2,,,6*,,2,4,4,4,4,6*,,2,,,2,4,4,1,2,,,,6*,6*,6*
IPIP-HPIHIC-Vit,,1,,,6*,,1,3,6*,6*,3,6*,,1,,,1,2,3,3,,,,,6*,6*,6*
IPIP-Hope,1,4,2,2,9*,2,4,7,9*,9*,7,9*,2,4,2,1,4,7,7,5,5,2,2,2,9*,9*,8
IPIP-IPC,9,4,11,8,32*,8,4,10,16,16,10,21,3,4,8,7,4,13,10,6,5,11,8,11,32*,32*,23
IPIP-JPI,13,22,24,13,109*,13,22,51,67,67,51,90,7,22,13,34,22,49,51,38,25,24,13,24,109*,109*,76
IPIP-JPI-Axy,3,1,5,4,6*,4,1,5,6*,6*,5,6*,2,1,4,3,1,6*,5,4,4,5,4,5,6*,6*,6*
IPIP-JPI-Bdi,1,3,2,,10*,,3,7,8,8,7,10*,,3,,5,3,7,7,5,3,2,,2,10*,10*,9
IPIP-JPI-Cpr,,,,,8*,,,,,,,,,,,,,,,,,,,,8*,8*,4
IPIP-JPI-Cpx,1,4,3,2,10*,2,4,7,8,8,7,9,2,4,2,4,4,7,7,5,5,3,2,3,10*,10*,9
IPIP-JPI-Emp,,2,,,8*,,2,4,4,4,4,6,,2,,3,2,2,4,4,1,,,,8*,8*,5
IPIP-JPI-Enl,,3,,,10*,,3,5,8,8,5,10*,,3,,2,3,5,5,5,3,,,,10*,10*,7
IPIP-JPI-Inv,2,1,3*,1,3*,1,1,1,2,2,1,3*,,1,1,3*,1,1,1,1,1,3*,1,3*,3*,3*,3*
IPIP-JPI-Org,3,1,3,1,4*,1,1,1,4*,4*,1,4*,1,1,1,1,1,2,1,1,1,3,1,3,4*,4*,4*
IPIP-JPI-Rkt,,,,,5*,,,4,4,4,4,5*,,,,,,4,4,2,,,,,5*,5*,5*
IPIP-JPI-Rsy,,2,1,,9*,,2,3,3,3,3,7,,2,,4,2,3,3,3,2,1,,1,9*,9*,7
