"This identfiies scales for which we maintain documentation of permissions, either granted to OpenScales directly or documented publicly elsewhere.",,,,,
,,,,,
Scale,filename,Permission Source,Grantee,Date,License
AAQ-H,openscales/AAQH.osd,Levin_Scales_June112026.pdf,Michael Levin,6/2026,CC_BY 4.0
AAQ-US,openscales/AAQ-US.osd,Levin_Scales_June112026.pdf,Michael Levin,6/2026,CC_BY 4.0
AAQ-S,openscales/AAQ-S.osd,Levin_Scales_June112026.pdf,Michael Levin,6/2026,CC_BY 4.0
TOF,openscales/TOF.osd,Levin_Scales_June112026.pdf,Michael Levin,6/2026,CC_BY 4.0
SMS,openscales/SMS.osd,"Komarc et al. 2020, PLoS ONE (doi:10.1371/journal.pone.0227277) reprint figure: ""Reprinted from Pelletier et al., 1995, under a CC BY license, with permission from Luc Pelletier""; see openscales/SMS/LICENSE.txt",Luc Pelletier,2020,CC_BY 4.0
